Price,Min Nights,No of Reviews,Reviews Per Month,Calculated Host Listings,Availability,Neighbourhood Group Code,Room Type Code,Clusters,Cluster
135,30,12,0.23,1,0,1,1,0,rose
100,30,19,0.33,1,0,2,1,0,rose
72,1,83,1.41,4,310,3,2,3,black
120,30,62,1.09,1,0,1,1,0,rose
265,30,51,0.86,1,0,1,1,0,rose
125,30,4,0.07,1,0,2,3,0,rose
375,30,15,0.27,1,242,2,1,3,black
85,30,20,0.34,2,115,2,1,0,rose
71,30,4,0.07,3,2,3,1,0,rose
200,3,38,0.65,1,365,2,1,3,black
37,3,19,0.87,2,31,2,2,0,rose
109,30,16,0.27,124,341,1,1,3,black
190,30,2,0.03,1,0,1,1,0,rose
100,3,240,4.09,1,199,1,1,3,black
125,30,5,0.09,124,365,1,1,3,black
45,30,2,0.03,1,0,2,2,0,rose
90,1,11,0.25,1,89,2,2,0,rose
125,30,19,0.33,124,326,1,1,3,black
89,30,12,0.24,124,328,1,1,3,black
181,30,1,0.02,2,0,1,1,0,rose
28,30,2,0.03,5,0,2,2,0,rose
150,4,53,0.92,1,8,2,1,0,rose
99,30,3,0.05,1,0,1,2,0,rose
84,5,171,2.89,1,9,3,2,0,rose
40,1,80,1.36,1,82,4,2,0,rose
65,30,1,0.02,1,0,2,2,0,rose
59,1,126,2.15,8,90,3,2,0,rose
50,30,4,0.07,1,0,2,2,0,rose
291,1,179,3.1,1,328,1,1,3,black
130,30,12,0.2,1,0,1,1,0,rose
285,3,100,1.71,1,74,1,1,0,rose
100,30,40,0.67,1,90,2,1,0,rose
90,4,94,1.6,4,21,2,2,0,rose
110,1,13,0.24,2,179,3,2,3,black
110,1,23,0.4,2,365,3,2,3,black
511,1,5,0.09,6,180,3,1,3,black
157,1,85,1.46,1,141,1,2,0,rose
240,1,54,0.92,1,0,1,2,0,rose
379,31,1,0.05,526,247,1,1,3,black
300,30,3,0.05,2,0,1,1,0,rose
70,7,26,0.44,2,61,2,2,0,rose
32,30,1,0.02,1,0,2,2,0,rose
343,1,21,0.36,3,89,1,1,0,rose
52,30,0,0.0,1,0,1,2,0,rose
75,30,7,0.12,1,0,2,1,0,rose
74,30,1,0.02,2,0,1,2,0,rose
125,6,1,0.04,1,0,2,1,0,rose
200,30,25,0.43,3,89,2,1,0,rose
30,30,18,0.31,3,218,2,2,3,black
375,30,0,0.0,1,0,1,1,0,rose
30,30,0,0.0,1,0,2,2,0,rose
75,1,132,2.25,6,180,3,2,3,black
104,30,4,0.07,1,0,3,1,0,rose
100,30,9,0.15,2,5,2,1,0,rose
56,7,114,1.96,1,82,1,2,0,rose
40,30,1,0.02,1,0,2,2,0,rose
