Price,Min Nights,No of Reviews,Latitude,Longitude,Reviews Per Month,Calculated Host Listings,Availability,Neighbourhood Group Code,Room Type Code,Clusters,Cluster
185,3,151,40.68339,-73.94034,1.08,1,259,2,1,0,gray
120,4,131,40.72002,-73.94238,0.99,1,69,2,1,3,black
75,30,52,40.69049,-73.93212,0.38,2,164,2,1,3,black
125,60,4,40.85099,-73.92822,0.04,1,0,1,2,3,black
181,10,76,40.76198,-73.99361,0.57,1,24,1,1,3,black
157,30,4,40.6878,-73.97253,0.06,1,0,2,1,3,black
155,30,24,40.71065,-73.94102,0.18,1,281,2,1,0,gray
100,30,7,40.68532,-73.91881,0.05,4,365,2,2,0,gray
210,30,44,40.7125,-73.96598,0.32,1,301,2,1,0,gray
122,30,49,40.71643,-73.99931,0.38,1,0,1,1,3,black
72,14,129,40.5847,-73.94088,0.92,2,87,2,2,3,black
289,30,128,40.67933,-73.995,0.94,1,303,2,1,0,gray
125,30,11,40.81146,-73.94469,0.08,2,365,1,2,0,gray
185,30,14,40.71955,-73.95471,0.1,1,0,2,1,3,black
400,30,0,40.81128,-73.9433,0.0,2,365,1,1,0,gray
75,30,60,40.69049,-73.93212,0.43,2,208,2,1,0,gray
109,4,60,40.719,-73.99764,0.47,1,0,1,2,3,black
189,2,188,40.78615,-73.97394,1.37,1,317,1,2,0,gray
188,30,15,40.72976,-73.98684,0.12,1,0,1,1,3,black
64,7,293,40.73877,-73.92557,2.19,1,202,3,2,0,gray
55,30,5,40.67882,-73.97224,0.05,1,0,2,2,3,black
89,30,12,40.73814,-74.00811,0.13,1,193,1,2,0,gray
450,20,157,40.72864,-74.00453,1.15,1,0,1,1,3,black
268,5,14,40.66178,-73.99178,0.1,1,0,2,1,3,black
220,1,49,40.73756,-73.9535,0.43,30,216,2,1,0,gray
249,30,8,40.72533,-73.9972,0.07,1,0,1,1,3,black
187,30,8,40.742886,-73.9907,0.07,2,140,1,1,3,black
100,30,9,40.67828,-73.98414,0.07,1,0,2,1,3,black
220,1,31,40.73756,-73.9535,0.26,30,216,2,1,0,gray
220,1,85,40.73756,-73.9535,0.64,30,216,2,1,0,gray
205,30,23,40.79846,-73.96512,0.2,1,173,1,2,0,gray
210,10,49,40.71724,-73.99054,0.52,1,344,1,2,0,gray
157,30,6,40.76387,-73.98742,0.06,2,187,1,1,0,gray
80,30,6,40.76314,-73.9868,0.05,1,87,1,2,3,black
220,1,34,40.73756,-73.9535,0.25,30,216,2,1,0,gray
220,1,31,40.73756,-73.9535,0.23,30,210,2,1,0,gray
76,30,2,40.60742,-74.14388,0.02,1,0,5,1,3,black
220,1,50,40.73756,-73.9535,0.37,30,216,2,1,0,gray
100,30,0,40.67452,-73.96174,0.0,1,0,2,1,3,black
220,1,70,40.73756,-73.9535,0.51,30,216,2,1,0,gray
220,1,81,40.73756,-73.9535,0.61,30,216,2,1,0,gray
349,1,12,40.73756,-73.9535,0.09,30,307,2,2,0,gray
179,2,149,40.69061,-73.97346,1.07,2,293,2,2,0,gray
349,1,8,40.73756,-73.9535,0.06,30,216,2,2,0,gray
161,75,115,40.73431,-74.00225,0.86,1,92,1,1,3,black
299,1,9,40.73756,-73.9535,0.09,30,192,2,2,0,gray
179,1,29,40.73756,-73.9535,0.23,30,139,2,4,3,black
220,1,51,40.73778,-73.95366,0.39,30,216,2,1,0,gray
220,1,88,40.73778,-73.95366,0.7,30,216,2,1,0,gray
85,60,11,40.61933,-74.03208,0.08,1,358,2,1,0,gray
160,7,3,40.68604,-73.9697,0.16,1,12,2,2,3,black
599,1,7,40.73756,-73.9535,0.05,30,72,2,2,3,black
110,1,2,40.68136,-73.9654,0.02,1,0,2,1,3,black
70,30,28,40.80592,-73.95172,0.28,1,364,1,2,0,gray
150,6,132,40.77702,-73.97904,0.99,1,2,1,1,3,black
220,1,148,40.73778,-73.95366,1.12,30,208,2,1,0,gray
220,1,144,40.73778,-73.95366,1.12,30,205,2,1,0,gray
93,14,39,40.71134819720268,-73.95338679325236,0.48,2,61,2,2,3,black
220,1,45,40.73778,-73.95366,0.34,30,216,2,1,0,gray
63,30,1,40.70951,-73.95015,0.01,2,0,2,2,3,black
225,3,228,40.69101,-73.95018,1.66,1,297,2,1,0,gray
300,30,55,40.79131,-73.9694,0.46,1,39,1,1,3,black
